time              7.519400000e-09
                 x                y                z              rxy                G               Bx               By               Bz                m                q           nmacro           rmacro               ID              fEx              fEy              fEz              fBx              fBy              fBz            G_cnt            G_his 
   1.103363023e-04 -8.162330745e-06  1.327661841e+00  1.106378021e-04  1.242571360e+00  1.445542795e-05 -3.633166537e-06  5.935694733e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.240785000e+00 
  -2.445376764e-05 -1.411445439e-04  1.350414352e+00  1.432472305e-04  1.243575630e+00 -1.099377919e-05 -1.895885950e-06  5.944496445e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.240795000e+00 
   1.068049741e-05  1.721059586e-04  1.313140439e+00  1.724370436e-04  1.242203228e+00  4.873327536e-06 -2.195271626e-06  5.932459697e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  3.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.240805000e+00 
  -1.058327375e-04 -1.411980164e-04  1.337076819e+00  1.764580634e-04  1.243844533e+00  1.912875014e-05  3.011432386e-06  5.946847357e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  4.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.240815000e+00 
   1.214929072e-04  1.806893732e-04  1.357549258e+00  2.177364831e-04  1.243668830e+00 -2.066812957e-05  5.829421093e-06  5.945311530e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  5.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.240825000e+00 
   2.070727106e-04 -1.741751687e-04  1.321729864e+00  2.705847314e-04  1.243056177e+00  1.003304914e-05  5.065514423e-06  5.939948099e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  6.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.240835000e+00 
  -1.954717344e-04  1.880148377e-04  1.345539991e+00  2.712172158e-04  1.244627159e+00  2.763337498e-06 -5.931686780e-06  5.953675618e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  7.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.240845000e+00 
  -3.287454351e-04 -1.278522204e-04  1.364397330e+00  3.527318406e-04  1.243619734e+00 -2.051521525e-05 -4.740220428e-06  5.944882196e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  8.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  2.000000000e+00  1.240855000e+00 
   3.017167018e-04  1.210694161e-04  1.310709204e+00  3.251011715e-04  1.243309215e+00 -1.876417637e-08 -1.662273435e-06  5.942164856e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  9.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.240865000e+00 
   1.562362504e-04 -3.056177346e-04  1.334198713e+00  3.432374770e-04  1.244721758e+00  1.133511008e-05  5.825065317e-06  5.954499574e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.000000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.240875000e+00 
  -1.789454511e-04  3.503576773e-04  1.350400187e+00  3.934106970e-04  1.242396236e+00 -1.814106454e-05  7.116843249e-06  5.934156371e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.100000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.240885000e+00 
  -1.253577222e-04 -3.412453062e-04  1.314594624e+00  3.635421812e-04  1.241775093e+00  9.141372497e-06  4.186175509e-06  5.928691534e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.200000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.240895000e+00 
   1.745922291e-04  3.653552731e-04  1.338884557e+00  4.049282924e-04  1.243592112e+00  1.065896838e-05  5.625125207e-08  5.944640611e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.300000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.240905000e+00 
   3.637037536e-04 -1.763737652e-04  1.358811143e+00  4.042129704e-04  1.243134645e+00 -7.127602685e-06 -8.532328601e-06  5.940635757e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.400000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.240915000e+00 
  -3.456153703e-04  1.457905758e-04  1.323731089e+00  3.751064864e-04  1.242906400e+00  2.215744693e-05 -7.809960030e-06  5.938634943e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.500000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.240925000e+00 
