time              3.534000000e-09
                 x                y                z              rxy                G               Bx               By               Bz                m                q           nmacro           rmacro               ID              fEx              fEy              fEz              fBx              fBy              fBz            G_cnt            G_his 
  -6.765439350e-03  2.679359596e-04  7.094676089e-01  6.770742889e-03  1.243509841e+00 -1.333897370e-05  3.379557038e-07  5.943920899e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.700000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  3.000000000e+00  1.242845000e+00 
  -6.708948935e-03 -1.978994936e-03  5.500253831e-01  6.994742080e-03  1.243527018e+00 -1.170644055e-05 -3.176671900e-06  5.944071186e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.800000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.400000000e+01  1.242855000e+00 
  -6.653912330e-03  2.655144484e-03  6.124395139e-01  7.164100888e-03  1.243545860e+00 -9.260247829e-06  6.849610854e-06  5.944236024e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.900000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  8.000000000e+00  1.242865000e+00 
  -6.610728545e-03 -3.446544753e-03  6.748571088e-01  7.455226531e-03  1.243568441e+00 -1.600824060e-05 -3.673146919e-06  5.944433560e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.000000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  6.000000000e+00  1.242875000e+00 
  -6.560302891e-03  1.371361475e-03  5.708926820e-01  6.702104618e-03  1.243600833e+00 -1.409524677e-05 -1.033988535e-06  5.944716888e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.100000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.200000000e+01  1.242885000e+00 
  -6.512042970e-03 -8.131968380e-04  6.330535778e-01  6.562620875e-03  1.243346524e+00 -1.254792305e-05 -3.582008624e-06  5.942491515e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.200000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  9.000000000e+00  1.242895000e+00 
  -6.465285565e-03  4.495808306e-03  6.955089329e-01  7.874783156e-03  1.243409803e+00 -1.086999049e-05  7.830631071e-06  5.943045458e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.300000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.200000000e+01  1.242905000e+00 
  -6.418595653e-03 -4.496881405e-03  5.915409055e-01  7.837111236e-03  1.243438292e+00 -7.821961929e-06 -8.843498627e-06  5.943294801e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.400000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.500000000e+01  1.242915000e+00 
  -6.388880368e-03  8.119476294e-04  6.539572658e-01  6.440267953e-03  1.243459532e+00 -1.946442269e-05  2.402916584e-06  5.943480684e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.500000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.600000000e+01  1.242925000e+00 
  -6.343372822e-03 -1.373364710e-03  7.163708461e-01  6.490339698e-03  1.243477775e+00 -1.496129547e-05 -8.568071477e-07  5.943640326e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.600000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  9.000000000e+00  1.242935000e+00 
  -6.302020606e-03  3.453351038e-03  5.384404983e-01  7.186174025e-03  1.243494712e+00 -1.322287394e-05  1.009740368e-05  5.943788529e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.700000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.900000000e+01  1.242945000e+00 
  -6.262040751e-03 -2.656937591e-03  6.008526031e-01  6.802387208e-03  1.243511366e+00 -1.169665072e-05 -8.542073016e-06  5.943934245e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.800000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.900000000e+01  1.242955000e+00 
  -6.222869883e-03  1.977787536e-03  6.632652826e-01  6.529605893e-03  1.243528641e+00 -9.918082834e-06  2.037041995e-06  5.944085386e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  2.900000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  2.000000000e+01  1.242965000e+00 
  -6.194174606e-03 -2.690002804e-04  5.592885151e-01  6.200012919e-03  1.243547713e+00 -1.707223221e-05 -1.342537473e-06  5.944252233e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  3.000000000e+01  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.800000000e+01  1.242975000e+00 
