ID,x position [m] ,y position [m],z position [m],"Bx, speed in x [%c]","By, speed in y [%c]","Bz, speed in z [%c]","G, relativistic gamma factor"
1,-0.008516936343,-0.01028911343,0.5984410888,-1.937444803e-05,-2.266558877e-05,0.5942985403,1.243402943
2,-0.008269844775,-0.00230685791,0.6608664304,-1.720416735e-05,-5.869686573e-06,0.5943256058,1.243433865
3,-0.008071192952,0.002304948027,0.5568924758,-1.536184226e-05,4.067002764e-06,0.5943449456,1.243455964
4,-0.007903964971,-0.003927034094,0.6193064129,-1.335103971e-05,-7.234562701e-06,0.5943612466,1.243474592
5,-0.007768818293,0.001090946356,0.6817189218,-2.045135656e-05,3.49500642e-06,0.5943761996,1.24349168
6,-0.007639527297,-0.001086767415,0.5777399024,-1.723886769e-05,4.493756079e-07,0.5943907589,1.24350832
7,-0.007524770562,0.00392230881,0.6401524094,-1.542598471e-05,2.774503515e-06,0.5944057101,1.243525408
8,-0.007420628446,-0.00523000121,0.7025663417,-1.376444064e-05,-1.257645638e-05,0.5944220066,1.243544036
9,-0.007324695231,0.0005366200382,0.5431286748,-1.176088253e-05,-1.743467058e-07,0.5944413383,1.243566135
10,-0.007245118022,-0.001671340561,0.6055539975,-1.843607686e-05,-3.572763378e-06,0.5944683859,1.243597057
11,-0.007161898432,0.003031705562,0.6677020433,-1.593743208e-05,6.481305344e-06,0.5942337198,1.243328898
12,-0.007084776813,-0.003029505111,0.5637795512,-1.426281551e-05,-4.404363576e-06,0.5943016336,1.243406476
13,-0.007012252982,0.001673985643,0.6262036952,-1.264013039e-05,6.069379891e-06,0.5943275687,1.243436108
14,-0.006943156868,-0.0005423528851,0.6886204382,-1.048874068e-05,-5.236722546e-06,0.5943465182,1.243457761
15,-0.006886845558,0.005225185812,0.5846430791,-1.707248307e-05,8.031340481e-06,0.5943626444,1.243476189
16,-0.006824442083,-0.006327428223,0.6470555138,-1.493447836e-05,-1.344006391e-05,0.5943775275,1.243493198
17,-0.00676543935,0.0002679359596,0.7094676089,-1.33389737e-05,3.379557038e-07,0.5943920899,1.243509841
18,-0.006708948935,-0.001978994936,0.5500253831,-1.170644055e-05,-3.1766719e-06,0.5944071186,1.243527018
19,-0.00665391233,0.002655144484,0.6124395139,-9.260247829e-06,6.849610854e-06,0.5944236024,1.24354586
20,-0.006610728545,-0.003446544753,0.6748571088,-1.60082406e-05,-3.673146919e-06,0.594443356,1.243568441
21,-0.006560302891,0.001371361475,0.570892682,-1.409524677e-05,-1.033988535e-06,0.5944716888,1.243600833
22,-0.00651204297,-0.000813196838,0.6330535778,-1.254792305e-05,-3.582008624e-06,0.5942491515,1.243346524
23,-0.006465285565,0.004495808306,0.6955089329,-1.086999049e-05,7.830631071e-06,0.5943045458,1.243409803
24,-0.006418595653,-0.004496881405,0.5915409055,-7.821961929e-06,-8.843498627e-06,0.5943294801,1.243438292
25,-0.006388880368,0.0008119476294,0.6539572658,-1.946442269e-05,2.402916584e-06,0.5943480684,1.243459532
26,-0.006343372822,-0.00137336471,0.7163708461,-1.496129547e-05,-8.568071477e-07,0.5943640326,1.243477775
27,-0.006302020606,0.003453351038,0.5384404983,-1.322287394e-05,1.009740368e-05,0.5943788529,1.243494712
28,-0.006262040751,-0.002656937591,0.6008526031,-1.169665072e-05,-8.542073016e-06,0.5943934245,1.243511366
29,-0.006222869883,0.001977787536,0.6632652826,-9.918082834e-06,2.037041995e-06,0.5944085386,1.243528641
30,-0.006194174606,-0.0002690002804,0.5592885151,-1.707223221e-05,-1.342537473e-06,0.5944252233,1.243547713
31,-0.00615581875,0.00632634206,0.6217065956,-1.42087436e-05,1.24148655e-05,0.5944454353,1.243570818
32,-0.006119656589,-0.00727376134,0.6841348451,-1.256731669e-05,-1.325364353e-05,0.5944752454,1.2436049
33,-0.006084467344,0.0001360806665,0.5799116242,-1.104222376e-05,2.259574587e-06,0.5942593098,1.243358127
34,-0.006049668311,-0.002136211523,0.6423591379,-9.126203926e-06,-4.595338314e-07,0.5943073029,1.243412953
35,-0.006024795906,0.002472958444,0.7047812757,-1.585975293e-05,1.772246185e-06,0.5943313444,1.243440422
36,-0.005991050854,-0.00368147999,0.545342467,-1.353508566e-05,-8.854332183e-06,0.5943495984,1.243461281
37,-0.005958789443,0.001230599953,0.6077558873,-1.196078595e-05,1.715328176e-06,0.5943654116,1.243479351
38,-0.005927211899,-0.0009493091665,0.6701681967,-1.041308764e-05,-1.668526542e-06,0.5943801763,1.243496225
39,-0.005895644095,0.004198839883,0.566189207,-8.284600292e-06,9.283257392e-06,0.5943947636,1.243512897
40,-0.005873981675,-0.004832428948,0.6286019853,-1.494241605e-05,-7.264047859e-06,0.5944099709,1.243530279
41,-0.005843688593,0.0006783986686,0.6910165578,-1.291594541e-05,5.501991755e-06,0.5944268717,1.243549597
42,-0.005814466801,-0.001524714472,0.5870440557,-1.138596579e-05,-5.777237152e-06,0.5944475825,1.243573273
43,-0.005785705421,0.003232814088,0.6494741264,-9.797750926e-06,4.800626903e-06,0.5944791116,1.24360932
44,-0.005756496749,-0.002838531892,0.7116461246,-7.315016006e-06,-6.103843842e-06,0.5942670535,1.243366972
45,-0.005737669858,0.001823848965,0.5522333974,-1.417821074e-05,3.871116156e-06,0.594309925,1.243415949
46,-0.005710087065,-0.0004014157424,0.6146546865,-1.234185707e-05,4.383986752e-07,0.5943331654,1.243442503
47,-0.005683298703,0.00570657779,0.6770703638,-1.083719264e-05,1.350794487e-05,0.594351109,1.243463007
48,-0.00565677923,-0.005698881766,0.5730925246,-9.184137521e-06,-6.243888751e-06,0.5943667822,1.243480917
49,-0.005629012279,0.0003959581585,0.6355047824,-5.966482177e-06,-5.589655183e-06,0.5943814982,1.243497736
50,-0.005616993399,-0.001826217677,0.697916927,-1.724004285e-05,-6.106875505e-06,0.5943961074,1.243514433
51,-0.005589321214,0.002836509466,0.5939387023,-1.337938169e-05,4.194934094e-06,0.5944114168,1.243531931
52,-0.005564320665,-0.003234861286,0.6563535204,-1.169357996e-05,-6.732918447e-06,0.5944285494,1.243551515
53,-0.005539875739,0.00152222175,0.7187727062,-1.019741473e-05,3.424428272e-06,0.5944498045,1.243575813
54,-0.005515479056,-0.0006724930961,0.5408622111,-8.423378871e-06,7.210831657e-08,0.5944833632,1.243614181
55,-0.005500771068,0.004837500082,0.6030364189,-1.54816292e-05,1.20505459e-05,0.5942733906,1.243374212
56,-0.005476047651,-0.00420273968,0.6654744453,-1.27842773e-05,-1.296416305e-05,0.5943124289,1.24341881
57,-0.005452794705,0.0009470261272,0.5615038575,-1.118229427e-05,-4.863685612e-07,0.5943349465,1.243444538
58,-0.005429942363,-0.001232606616,0.6239192296,-9.67514944e-06,-3.609359753e-06,0.594352602,1.243464713
59,-0.005406934131,0.003679402631,0.6863323637,-7.746425313e-06,6.89357298e-06,0.5943681451,1.243482475
60,-0.005393367676,-0.002475589824,0.5823534658,-1.446351051e-05,-4.255930352e-06,0.5943828191,1.243499245
61,-0.005370593402,0.002141780255,0.6447656409,-1.22316228e-05,5.715699103e-06,0.5943974571,1.243515975
62,-0.005348812968,-0.0001309542354,0.7071786446,-1.068748739e-05,2.579116317e-06,0.5944128771,1.2435336
63,-0.005327299438,0.007270415697,0.5477389116,-9.15229482e-06,1.009578801e-05,0.5944302587,1.243553469
64,-0.005305366986,-0.008093696416,0.6101587284,-6.985718924e-06,-1.795009894e-05,0.5944521094,1.243578448
65,-0.005293062615,6.583906905e-05,0.6725935356,-1.367753371e-05,-9.35885297e-07,0.5944881092,1.243619608
66,-0.005271825481,-0.00222231369,0.5683773364,-1.171510612e-05,-4.507678259e-06,0.5942788012,1.243380392
67,-0.005251299908,0.002390814995,0.6308121729,-1.020757583e-05,5.375192031e-06,0.5943148286,1.243421552
68,-0.005230917309,-0.003799330818,0.6932320017,-8.624158757e-06,-5.732057835e-06,0.5943366907,1.243446531
69,-0.005209705604,0.001163453309,0.5892559787,-6.052978416e-06,5.368639773e-06,0.5943540782,1.2434664
70,-0.005198804914,-0.001023170589,0.6516689854,-1.301429252e-05,-5.653875701e-06,0.5943695011,1.243484025
71,-0.00517883648,0.004057350608,0.7140811614,-1.122224867e-05,5.954127729e-06,0.5943841399,1.243500755
72,-0.005159391297,-0.005023865953,0.5546385588,-9.734507359e-06,-1.074048198e-05,0.5943988129,1.243517525
73,-0.005139963523,0.0006057746978,0.6170516896,-8.078420626e-06,1.138836172e-06,0.5944143529,1.243535287
74,-0.005118801608,-0.001595111464,0.6794670551,-4.605369509e-06,-2.278798869e-06,0.5944320022,1.243555462
75,-0.005113348939,0.003133350455,0.5754964542,-1.578411046e-05,7.966772932e-06,0.5944545074,1.24358119
76,-0.005092555342,-0.00292974879,0.6379344475,-1.231155517e-05,-2.32038405e-06,0.5944935144,1.243625788
77,-0.005073867507,0.001743322122,0.7001086656,-1.065925431e-05,9.6047941e-08,0.5942835517,1.243385819
