time              7.519400000e-09
                 x                y                z              rxy                G               Bx               By               Bz                m                q           nmacro           rmacro               ID              fEx              fEy              fEz              fBx              fBy              fBz            G_cnt            G_his 
   9.690627909e-04  2.743738429e-03  1.330435913e+00  2.909842480e-03  1.243986477e+00  1.364027553e-06 -4.219441503e-05  5.948087323e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.219000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242585000e+00 
   9.290361811e-04 -1.416614296e-03  1.350432835e+00  1.694079186e-03  1.243597470e+00  2.797739789e-06 -2.014924592e-05  5.944687470e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.210000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242595000e+00 
   7.857374035e-04 -2.929928964e-03  1.326508570e+00  3.033457928e-03  1.243686398e+00 -2.112773425e-06  5.610672599e-05  5.945465120e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.180000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.242605000e+00 
   9.671338360e-04  1.327944322e-04  1.370604708e+00  9.762080813e-04  1.242855888e+00  2.826173884e-06  3.570926035e-06  5.938191916e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.217000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.242615000e+00 
   7.303837285e-04 -5.645215534e-04  1.396520537e+00  9.231169888e-04  1.243963085e+00  8.316616978e-07  6.483040565e-06  5.947883039e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.166000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.242625000e+00 
   8.681132300e-04 -3.387838821e-03  1.419608781e+00  3.497295020e-03  1.243413802e+00  2.299867249e-06 -6.091498899e-05  5.943080428e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.196000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242635000e+00 
   8.249650003e-04  3.024119778e-03  1.430056602e+00  3.134624010e-03  1.242999590e+00 -3.043309783e-07  7.433014413e-06  5.939452070e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.187000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.242645000e+00 
   9.078480478e-04  1.898199427e-03  1.425663058e+00  2.104126694e-03  1.243021309e+00  1.598926427e-06  2.330205548e-05  5.939642469e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.205000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.242655000e+00 
   8.608467568e-04  4.022299612e-03  1.357189176e+00  4.113386841e-03  1.243392785e+00  2.028627502e-06  8.425693155e-05  5.942896437e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.195000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.000000000e+00  1.242665000e+00 
   7.764767056e-04 -8.875377345e-04  1.341781286e+00  1.179253707e-03  1.244173134e+00  5.872224122e-06 -3.056827830e-07  5.949716865e-01  1.672621924e-27  1.602176634e-19  1.310716906e+01  0.000000000e+00  1.174000000e+03  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  0.000000000e+00  1.242675000e+00 
